Perfil G h b tw tf r1 r2 A d Ø emin emax AL AG Iy Wel.y Wpl.y iy Avz Iz Wel.z Wpl.z iz ss It Iw ys ym S235 S355 S235 S355 EN10025-2:2004 EN10025-4:2004 EN10225:2001
Perfil kg/m mm mm mm mm mm mm mm2x102 mm - mm mm m2/m m2/t mm4x104 mm3x103 mm3x103 mmx10 mm2x102 mm4x104 mm3x103 mm3x103 mmx10 mm mm4x104 mm6x109 mmx10 mmx10 - - - - - - -

UPN50 5,59 50 38 5,0 7,0 7,0 3,5 7,12 21 0 0 0 0,232 42,22 26,4 10,6 13,1 1,92 2,77 9,12 3,75 6,78 1,13 16,7 1,12 0,03 1,37 2,47 1 1 1 1 1 0 0
UPN65 7,09 65 42 5,5 7,5 7,5 4,0 9,03 34 0 0 0 0,273 39,57 57,5 17,7 21,7 2,52 3,68 14,1 5,07 9,38 1,25 18,0 1,61 0,08 1,42 2,60 1 1 1 1 1 0 0
UPN80 8,64 80 45 6,0 8,0 8,0 4,0 11,0 47 0 0 0 0,312 37,10 106 26,5 32,3 3,10 4,90 19,4 6,36 11,9 1,33 19,4 2,20 0,18 1,45 2,67 1 1 1 1 1 0 0
UPN100 10,6 100 50 6,0 8,5 8,5 4,5 13,5 64 0 0 0 0,372 35,10 206 41,2 49,0 3,91 6,46 29,3 8,49 16,2 1,47 20,3 2,81 0,41 1,55 2,93 1 1 1 1 1 0 0
UPN120 13,4 120 55 7,0 9,0 9,0 4,5 17,0 82 0 0 0 0,434 32,52 364 60,7 72,6 4,62 8,80 43,2 11,1 21,2 1,59 22,2 4,15 0,90 1,60 3,03 1 1 1 1 1 0 0
UPN140 16,0 140 60 7,0 10,0 10,0 5,0 20,4 98 M12 33 37 0,489 30,54 605 86,4 103 5,45 10,4 62,7 14,8 28,3 1,75 23,9 5,68 1,80 1,75 3,37 1 1 1 1 1 0 0
UPN160 18,8 160 65 7,5 10,5 10,5 5,5 24,0 115 M12 34 42 0,546 28,98 925 116 138 6,21 12,6 85,3 18,3 35,2 1,89 25,3 7,39 3,26 1,84 3,56 1 1 1 1 1 0 0
UPN180 22,0 180 70 8,0 11,0 11,0 5,5 28,0 133 M16 38 41 0,611 27,80 1350 150 179 6,95 15,1 114 22,4 42,9 2,02 26,7 9,55 5,57 1,92 3,75 1 1 1 1 1 0 0
UPN200 25,3 200 75 8,5 11,5 11,5 6,0 32,2 151 M16 39 46 0,661 26,15 1910 191 228 7,70 17,7 148 27,0 51,8 2,14 28,1 11,9 9,07 2,01 3,94 1 1 1 1 1 0 0
UPN220 29,4 220 80 9,0 12,5 12,5 6,5 37,4 167 M16 40 51 0,718 24,46 2690 245 292 8,48 20,6 197 33,6 64,1 2,30 30,3 16,0 14,6 2,14 4,20 1 1 1 1 1 0 0
UPN240 33,2 240 85 9,5 13,0 13,0 6,5 42,3 184 M20 46 50 0,775 23,34 3600 300 358 9,22 23,7 248 39,6 75,7 2,42 31,7 19,7 22,1 2,23 4,39 1 1 1 1 1 0 0
UPN260 37,9 260 90 10,0 14,0 14,0 7,0 48,3 200 M22 50 52 0,834 22,00 4820 371 442 9,99 27,1 317 47,7 91,6 2,56 33,9 25,5 33,3 2,36 4,66 1 1 1 1 1 0 0
UPN280 41,8 280 95 10,0 15,0 15,0 7,5 53,3 216 M22 52 57 0,890 21,27 6280 448 532 10,9 29,3 399 57,2 109 2,74 35,6 31,0 48,5 2,53 5,02 1 1 1 1 1 0 0
UPN300 46,2 300 100 10,0 16,0 16,0 8,0 58,8 232 M24 55 59 0,950 20,58 8030 535 632 11,7 31,8 495 67,8 130 2,90 37,3 37,4 69,1 2,70 5,41 1 1 1 1 1 0 0
UPN320 59,5 320 100 14,0 17,5 17,5 8,8 75,8 246 M22 58 62 0,982 16,50 10870 679 826 12,1 47,1 597 80,6 152 2,81 43,0 66,7 96,1 2,60 4,82 1 1 1 1 1 0 0
UPN350 60,6 350 100 14,0 16,0 16,0 8,0 77,3 282 M22 56 62 1,05 17,25 12840 734 918 12,9 50,8 570 75,0 143 2,72 40,7 61,2 114 2,40 4,45 1 1 1 1 1 0 0
UPN380 63,1 380 102 13,5 16,0 16,0 8,0 80,4 313 M24 59 60 1,11 17,59 15760 829 1010 14,0 53,2 615 78,7 148 2,77 40,3 59,1 146 2,38 4,58 1 1 1 1 1 0 0
UPN400 71,8 400 110 14,0 18,0 18,0 9,0 91,5 324 M27 61 62 1,18 16,46 20350 1020 1240 14,9 58,6 846 102 190 3,04 44,0 81,6 221 2,65 5,11 1 1 1 1 1 0 0
